model,accuracy,precision,recall,f1,auc,train_time_sec
LogisticRegression,0.8596491228070176,0.9375,0.8333333333333334,0.8823529411764706,0.9718915343915344,0.0384058952331543
GradientBoosting,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9715608465608465,0.24329471588134766
SVM (RBF),0.8771929824561403,0.953125,0.8472222222222222,0.8970588235294118,0.970568783068783,0.03835034370422363
RandomForest,0.9210526315789473,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.9690806878306878,0.5004801750183105
KNN,0.8947368421052632,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9505621693121694,0.004395008087158203
DecisionTree,0.8859649122807017,0.9538461538461539,0.8611111111111112,0.9051094890510949,0.8948412698412699,0.009307146072387695
